Indicador;Comunidad autónoma;Grupos de gasto;periodo;Total
TOTAL (Millones de euros);Cataluña;Libro y publicaciones periódicas;2022;498,5
TOTAL (Millones de euros);Cataluña;Libro y publicaciones periódicas;2021;327,3
TOTAL (Millones de euros);Cataluña;Libro y publicaciones periódicas;2020;349,9
TOTAL (Millones de euros);Cataluña;Libro y publicaciones periódicas;2019;409,5
TOTAL (Millones de euros);Cataluña;Libro y publicaciones periódicas;2018;396,5
TOTAL (Millones de euros);Cataluña;Libro y publicaciones periódicas;2017;496,7
TOTAL (Millones de euros);Cataluña;Libro y publicaciones periódicas;2016;618,6
TOTAL (Millones de euros);Cataluña;Servicios culturales;2023;331,5
TOTAL (Millones de euros);Cataluña;Servicios culturales;2022;299,9
TOTAL (Millones de euros);Cataluña;Servicios culturales;2021;202,3
TOTAL (Millones de euros);Cataluña;Servicios culturales;2020;145,6
TOTAL (Millones de euros);Cataluña;Servicios culturales;2019;406,7
TOTAL (Millones de euros);Cataluña;Servicios culturales;2018;369,7
TOTAL (Millones de euros);Cataluña;Servicios culturales;2017;472,8
TOTAL (Millones de euros);Cataluña;Servicios culturales;2016;486,6
TOTAL (Millones de euros);Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;611,3
TOTAL (Millones de euros);Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;681,7
TOTAL (Millones de euros);Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;754,9
TOTAL (Millones de euros);Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;628,9
TOTAL (Millones de euros);Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;584,0
TOTAL (Millones de euros);Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;555,9
TOTAL (Millones de euros);Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;541,5
TOTAL (Millones de euros);Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;548,3
